p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.7427126673929927e-126	1.6751494451741928	0.232	0.028	6.582748558543551e-122	7	Fam205c
2.5693588593729662e-155	1.67039503982745	0.133	0.003	9.705239219509505e-151	8	Rps4x
3.031045606772277e-90	1.6652629997742112	0.104	0.005	1.1449168570460922e-85	8	Anxa2
9.353152200931968e-189	1.6643225327009425	0.122	0.001	3.5329661808580323e-184	7	Fscn3
6.392646797017361e-178	1.6637349021262782	0.137	0.003	2.4146944746373677e-173	7	Tssk6
1.3882823968630041e-111	1.6630493794325112	0.198	0.023	5.2439590976706255e-107	7	Prr30
3.727818076194926e-158	1.6564919296884644	0.155	0.007	1.4081087219211093e-153	7	Gpi1
2.4724765009556247e-187	1.6451688552774093	0.155	0.004	9.339285487059681e-183	7	Hypm
0	1.6353997665053792	0.453	0.042	0	6	Gstt4
7.14826876079607e-167	1.6342983015119015	0.165	0.007	2.7001155590154996e-162	7	Wdr64
4.3410343528734765e-162	1.6286633435774311	0.196	0.013	1.6397389061108984e-157	7	Prdx4
8.976738747350027e-111	1.6249087716857193	0.147	0.009	3.3907835270365256e-106	8	Hspa8
1.0484460836994911e-116	1.6198652265961981	0.155	0.012	3.960295391958088e-112	7	Carhsp1
9.162168155061832e-139	1.6171441364689203	0.18	0.013	3.4608257772115056e-134	7	Ace
4.206571188961662e-132	1.614445331682235	0.155	0.01	1.5889481352064886e-127	7	Glrx2
4.170254277398143e-185	1.6143275341231353	0.144	0.003	1.5752301482016006e-180	7	Wasf2
0	1.6063916540963814	0.464	0.044	0	6	Chl1
5.499664830922799e-168	1.605879451544771	0.168	0.008	2.077388396584469e-163	7	Pwwp2b
2.0190767152724716e-81	1.6053376837514577	0.184	0.028	7.626658476598707e-77	7	Lpin1
8.913363495205542e-177	1.6031252784229142	0.172	0.007	3.3668447930439894e-172	7	Selenok
5.129927136440209e-110	1.5966869721657153	0.151	0.012	1.9377273772475604e-105	7	Nsun4
4.601133880507294e-123	1.5922431321323465	0.182	0.016	1.7379863006840201e-118	7	Cdc34
1.034759132728452e-294	1.588535526876797	0.488	0.093	3.908595672055182e-290	3	BIRC3
1.5390306327711906e-108	1.588013703742582	0.106	0.004	5.813380409166618e-104	8	Cdc42
1.6107659341165343e-211	1.5747906380619219	0.151	0.002	6.084346162938385e-207	7	Ppp1r2-ps7
1.0936951824389578e-199	1.5713175448063907	0.165	0.005	4.131214812626675e-195	7	Prss55
1.286606571119093e-144	1.5680470361853431	0.131	0.005	4.85989900108815e-140	7	Rcc1
9.466500096744305e-116	1.566473877688848	0.167	0.014	3.575781081543226e-111	7	Pdpk1
2.573206122698432e-117	1.5646675815260105	0.134	0.008	9.719771487268787e-113	7	Rangap1
3.475372772678497e-51	1.5616875153560548	0.185	0.037	1.3127525574238487e-46	8	Rpsa
0	1.5590463342293859	0.919	0.192	0	6	Ldhc
0	1.5578357158630842	0.464	0.044	0	6	Lrrc18
9.713374642727619e-256	1.5545767525257725	0.34	0.028	3.669033003797504e-251	6	Trim36
9.849656544798767e-278	1.5480850371552832	0.449	0.048	3.720510766666838e-273	6	Spata21
1.795352458326345e-84	1.5389623263478867	0.177	0.025	6.781584840836104e-80	7	Mtfr1
3.000031946034625e-197	1.5372501672668415	0.122	0.001	1.1332020669756587e-192	7	Bpifa3
6.206008002490168e-124	1.5361499796024738	0.153	0.01	2.3441954027806112e-119	7	Syce2
3.302950674191049e-162	1.5308295523604722	0.107	0.001	1.247623558162185e-157	7	Ppp2r2b
2.7276485270739647e-209	1.527379225237555	0.131	0.001	1.0303146781316486e-204	7	Skp2
0	1.5268269663893892	0.682	0.155	0	3	IGHM
5.293407455759018e-97	1.5181278812172883	0.136	0.011	1.9994787982638537e-92	7	Prkcq
7.119680837778827e-111	1.5145368044817622	0.246	0.037	2.689317042854196e-106	7	Trim36
2.7909682335929047e-174	1.511420732068767	0.124	0.002	1.054232430875048e-169	7	Asb8
0	1.5096865628479148	0.537	0.058	0	6	Spata19
2.277385884719364e-88	1.5087767374025374	0.616	0.241	8.602369702350454e-84	8	mt-Rnr2
7.466629919176118e-204	1.5076654875715856	0.183	0.008	2.820370119370395e-199	5	mt-Nd4
2.8900358895932673e-47	1.5015813483940843	0.312	0.102	1.0916532565760648e-42	8	mt-Rnr1
3.6415647971277796e-289	1.5012439917272231	0.488	0.056	1.375528270819076e-284	6	Dynll2
3.132290624078636e-108	1.497240281944311	0.122	0.007	1.183160137433223e-103	7	Socs7
3.2061346329390524e-183	1.4878652536709975	0.136	0.003	1.2110532349000683e-178	7	Sppl2c
2.8060159465364575e-268	1.4852904044688717	0.344	0.026	1.059916403485216e-263	6	Cypt12
0	1.4852032862631603	0.498	0.053	0	6	D830044I16Rik
2.8596628002252946e-92	1.4828394621719785	0.241	0.042	1.0801804295291005e-87	7	Fam229a
1.1419258106972425e-173	1.4784397600477326	0.149	0.005	4.3133963647466944e-169	7	4930407I10Rik
1.3057953945593308e-68	1.4776282055586614	0.124	0.012	4.93238094386896e-64	8	Rack1
5.358941644860222e-156	1.4770014838097023	0.117	0.002	2.024233027513052e-151	7	Knstrn
1.5747563526805727e-85	1.4763377778216584	0.242	0.047	5.948327170980327e-81	7	Cypt4
1.2686873765155839e-183	1.474602588714807	0.124	0.001	4.792212827312315e-179	7	Klk1b8
2.8760026655204564e-102	1.4671074531737216	0.155	0.014	1.086352486847042e-97	7	Gm16486
4.14894600354524e-158	1.4661942418554856	0.11	0.002	1.5671813739191436e-153	7	Osgin1
1.1592270265302114e-169	1.461461831154572	0.124	0.002	4.378748247312568e-165	7	Ccsap
3.6294837499545384e-86	1.45643469448112	0.136	0.013	1.3709648968703277e-81	7	Tbc1d20
7.825031389665264e-204	1.4560635154285215	0.132	0.001	2.9557491068182604e-199	7	Gm136
1.1629616812198032e-147	1.4543045823900296	0.146	0.006	4.392855158471563e-143	7	Cst13
3.404833448433288e-94	1.4512634419826085	0.122	0.009	1.2861077384767058e-89	7	Vars
5.098144475453816e-159	1.4424425157279332	0.119	0.002	1.92572211271317e-154	7	Tspan6
3.355148022448905e-225	1.4398558120479914	0.36	0.038	1.2673400625196248e-220	6	Galntl5
3.667347960740384e-64	1.4278175619696072	0.139	0.02	1.385267345210465e-59	7	Mapk6
2.5195764910913615e-164	1.4241305938077333	0.115	0.002	9.5171962797994e-160	7	1700016C15Rik
1.1476619687523725e-92	1.4236390872748907	0.381	0.087	4.335063554568337e-88	8	mt-Co1
8.651109965354211e-139	1.4201480175981938	0.101	0.002	3.267783767213246e-134	7	Prkcd
1.1469844111997315e-86	1.4173491547476202	0.134	0.013	4.3325042164247456e-82	7	Tsks
